original,year,season,day,division,team_name,action
2023FallTuesdaySandblasters.jpg,2023,fall,tuesday,competitive,sandblasters,rename
2023SummerThursdayBlockParty.jpg,2023,summer-i,thursday,competitive,block-party,rename
2023SummerTuesdayBigDigEnergy.jpg,2023,summer-i,tuesday,competitive,big-dig-energy,rename
2024EarlySummerThursComp.jpg,2024,summer-i,thursday,competitive,one-hit-wonders,rename
2024EarlySummerThursRec.jpg,2024,summer-i,thursday,recreational,consensual-sets,rename
2024EarlySummerTuesComp.jpg,2024,summer-i,tuesday,competitive,sand-blasters,rename
2024EarlySummerTuesRec.jpg,2024,summer-i,tuesday,recreational,sand-in-my-clam,rename
2024EarlySummerWed2s.jpg,2024,summer-i,wednesday,doubles,j+l,rename
2024EarlySummerWed3s.jpg,2024,summer-i,wednesday,triples,were-super-setsy,rename
2024FallThursCompLoctite.jpg,2024,fall,thursday,competitive,loctite,rename
2024FallThursRecDuneOurBest.jpg,2024,fall,thursday,recreational,dune-our-best,rename
2024FallTuesCompHitsandGiggles.jpg,2024,fall,tuesday,competitive,hits-and-giggles,rename
2024FallTuesRecWeGetItUp.jpg,2024,fall,tuesday,recreational,we-get-it-up,rename
2024FallWedJAM.jpg,2024,fall,wednesday,shuffle,jam,rename
2024LateSummerThursComp-WereSuperSetsy.jpg,2024,summer-ii,thursday,competitive,were-super-setsy,rename
2024LateSummerThursRec-DinkinDuneTysons.jpg,2024,summer-ii,thursday,recreational,dinkin-dune-tysons,rename
2024LateSummerTuesComp-BDE.jpg,2024,summer-ii,tuesday,competitive,big-dig-energy,rename
2024LateSummerTuesRec-PokingFun.jpg,2024,summer-ii,tuesday,recreational,poking-fun,rename
2024SpringThursComp.jpg,2024,spring,thursday,competitive,big-dig-energy,rename
2024SpringThursRec.jpg,2024,spring,thursday,recreational,setting-ducks,rename
2024SpringTuesComp.jpg,2024,spring,tuesday,competitive,bumpin-uglies,rename
2024SpringTuesRecSIMC.jpg,2024,spring,tuesday,recreational,sand-in-my-clam,rename
2025 Spring Thurs.jpg,2025,spring,thursday,competitive,loctite,rename
2025 Spring Tues Comp medals.jpg,2025,spring,tuesday,competitive,mitens-hittin-kittens,rename
2025 Spring Tues NonComp medals.jpg,2025,spring,tuesday,recreational,maaa,rename
2025 Summer 2 Thursday jizzfish.jpg,2025,summer-ii,thursday,recreational,jizzfish,rename
2025 Summer 2 Thursday loctite.jpg,2025,summer-ii,thursday,competitive,loctite,rename
2025 Summer 2 Tuesday Rec.jpg,2025,summer-ii,tuesday,recreational,spike-tysons,rename
2025 Summer Thurs Comp.jpg,2025,summer-i,thursday,competitive,brandons-team,rename
2025 Summer Thurs Rec.jpg,2025,summer-i,thursday,recreational,jizzfish,rename
2025 Summer Tuesday Comp.jpg,2025,summer-i,tuesday,competitive,hittie-twisters,rename
2025FallTuesCompBDE.jpg,2025,fall,tuesday,competitive,big-dig-energy,rename
2025FallTuesRecMAAAA.jpg,2025,fall,tuesday,recreational,maaa,rename
PXL_20251106_023517590.jpg,2025,fall,wednesday,shuffle,shuffle-champs,rename
PXL_20251107_032532168.jpg,2025,fall,thursday,recreational,hit-for-brains,rename
PXL_20251107_034152808.TS-000.MP.jpg,2025,summer-ii,tuesday,competitive,hittie-twisters,rename
TL_photo_1698984934.jpg,2023,fall,thursday,competitive,block-party,rename
TL_photo_1699223355.jpg,2023,fall,thursday,recreational,consensual-sets,rename
